,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
257,1075,Caldera Brewing Company,1272945129,4.0,4.0,4.0,Akfan,American IPA,4.0,4.5,Caldera IPA,6.1,10784
265,1075,Caldera Brewing Company,1324238653,4.0,4.0,4.0,coldriver,American IPA,4.0,4.5,Caldera IPA,6.1,10784
330,1075,Caldera Brewing Company,1296875377,4.0,4.0,4.0,Mora2000,American IPA,4.0,4.0,Caldera IPA,6.1,10784
337,1075,Caldera Brewing Company,1297129212,4.0,4.0,4.0,Rutager,American IPA,4.0,3.5,Caldera IPA,6.1,10784
338,1075,Caldera Brewing Company,1297105083,4.5,4.0,4.0,CHILLINDYLAN,American IPA,4.0,4.0,Caldera IPA,6.1,10784
339,1075,Caldera Brewing Company,1296947627,4.5,4.5,4.0,beerman207,American IPA,4.0,4.0,Caldera IPA,6.1,10784
340,1075,Caldera Brewing Company,1296620697,3.5,4.0,4.5,grover37,American IPA,3.5,3.5,Caldera IPA,6.1,10784
341,1075,Caldera Brewing Company,1296233050,4.5,4.5,4.0,alabamatie,American IPA,4.0,4.5,Caldera IPA,6.1,10784
342,1075,Caldera Brewing Company,1296008402,4.5,4.0,4.0,bagpiper2005,American IPA,4.0,4.5,Caldera IPA,6.1,10784
343,1075,Caldera Brewing Company,1296005914,4.0,3.5,4.0,LukeD23,American IPA,4.0,4.5,Caldera IPA,6.1,10784
344,1075,Caldera Brewing Company,1295671770,4.0,4.0,4.0,JayQue,American IPA,4.0,4.0,Caldera IPA,6.1,10784
345,1075,Caldera Brewing Company,1295585824,4.0,4.5,4.5,PhageLab,American IPA,4.0,3.5,Caldera IPA,6.1,10784
346,1075,Caldera Brewing Company,1294974656,5.0,4.0,5.0,lnashsig,American IPA,4.0,4.0,Caldera IPA,6.1,10784
